Feature1,Feature2,Pearson_Corr,Pearson_p-value,Spearman_Corr,Spearman_p-value,Kendall_Corr,Kendall_p-value
Head,Neck,0.9913820712793624,0.0,0.9827925118380245,0.0,0.9121072549307796,0.0
Head,RShoulder_X,0.6531990731908982,0.0,0.6760830916694656,0.0,0.48093566072329536,0.0
Head,RShoulder_Y,0.9865704100490053,0.0,0.973689978318361,0.0,0.8920820449441101,0.0
Head,LShoulder_X,0.13357797275977315,1.9023155358864688e-14,0.2611472864599644,5.8942305677443785e-52,0.18044994899951092,1.9095036417161126e-51
Head,LShoulder_Y,0.9876135999456744,0.0,0.9751107419514171,0.0,0.8934898069594899,0.0
Head,RElbow_X,0.5382227067809005,3.187516887353103e-244,0.6395129616062163,0.0,0.4434616943039785,6.5354917978530995e-304
Head,RElbow_Y,0.9658064001678098,0.0,0.9231067377533612,0.0,0.7969932998917192,0.0
Head,LElbow_X,0.016053782467851746,0.35957238687328485,0.2219476632951189,1.1741652597746841e-37,0.1571660608456784,1.2049016437012783e-39
Head,LElbow_Y,0.9640683818289545,0.0,0.9152706713036777,0.0,0.7858257891354103,0.0
Head,RWrist_X,0.449815576056362,4.050637209231433e-162,0.6009559044654414,2.8889e-319,0.4193175605421303,3.09853188679562e-272
Head,RWrist_Y,0.9144861996837729,0.0,0.8111239065584664,0.0,0.6445132395645381,0.0
Head,LWrist_X,0.0506902072238729,0.003797198409169432,-0.17064528704696263,1.0193191792172467e-22,-0.12089066740330269,3.106227848327497e-24
Head,LWrist_Y,0.9176654980102052,0.0,0.7942734465900486,0.0,0.6269736663781315,0.0
Head,RHip_X,0.6385626766021952,0.0,0.7141761303463386,0.0,0.5113099838879129,0.0
Head,RHip_Y,0.9254098119548082,0.0,0.8886809982852276,0.0,0.7425128811054489,0.0
Head,LHip_X,0.3408251656347451,1.9055314455945134e-89,0.4468650619681557,8.95915355964414e-160,0.30847074547627357,9.630899632900172e-147
Head,LHip_Y,0.9305606762239185,0.0,0.893852830697938,0.0,0.7495679253168249,0.0
Head,RKnee_X,0.630475796904439,0.0,0.6940871515508067,0.0,0.4953636226834761,0.0
Head,RKnee_Y,0.8001926280725988,0.0,0.7712698160055971,0.0,0.6028677189882387,0.0
Head,LKnee_X,0.34491673868820893,1.0619730021340627e-91,0.4297684419118236,1.2340686494162867e-146,0.29950290476920033,1.8085319275109902e-138
Head,LKnee_Y,0.7949584631279102,0.0,0.7809168943304358,0.0,0.611370169329156,0.0
Head,RAnkle_X,0.6308673541365296,0.0,0.7087674152473444,0.0,0.5158764683676558,0.0
Head,RAnkle_Y,0.6847870275448338,0.0,0.6888761560004194,0.0,0.5232621558712773,0.0
Head,LAnkle_X,0.33945568151925865,1.0637940854978724e-88,0.4522099718749128,4.871250603502432e-164,0.31993104603911543,1.5835944069616286e-157
Head,LAnkle_Y,0.6675988746187642,0.0,0.6742631242054112,0.0,0.5097757275003476,0.0
Head,Chest,0.9698387793036889,0.0,0.9444691751100595,0.0,0.8308490600786779,0.0
Neck,RShoulder_X,0.6417826224464188,0.0,0.654958800617339,0.0,0.4659152374535626,0.0
Neck,RShoulder_Y,0.9913522984180237,0.0,0.982337454505074,0.0,0.917118368718198,0.0
Neck,LShoulder_X,0.15332173770499022,1.3499194451276526e-18,0.2763719966521544,3.214836470841639e-58,0.19105310854234128,2.4840116288451086e-57
Neck,LShoulder_Y,0.9921805197204503,0.0,0.9826902212345593,0.0,0.9155677236308837,0.0
Neck,RElbow_X,0.5240116555634752,2.4425171122939262e-229,0.6154625750523604,0.0,0.42614467523905797,3.315313124926156e-280
Neck,RElbow_Y,0.9762620121584954,0.0,0.9482096239360115,0.0,0.8394798834751831,0.0
Neck,LElbow_X,0.037671173220991935,0.03151591420642617,0.2392437589957305,1.1983307835646288e-43,0.16927339921247184,1.2931228978522835e-45
Neck,LElbow_Y,0.9744806113166613,0.0,0.9401219023710967,0.0,0.8258170822582707,0.0
Neck,RWrist_X,0.4354517876733782,6.413280852046923e-151,0.5775861589661223,2.1375637938304966e-289,0.4010548301714005,1.0895210726079906e-248
Neck,RWrist_Y,0.9235696089712824,0.0,0.8387315428288511,0.0,0.6770617612173603,0.0
Neck,LWrist_X,0.02986623702370622,0.08824674572428697,-0.18699714979530052,4.9692457524861294e-27,-0.13243911062791489,1.0659954144016191e-28
Neck,LWrist_Y,0.9275594919197425,0.0,0.8235262993781355,0.0,0.6609627701331414,0.0
Neck,RHip_X,0.6330990390016246,0.0,0.6982739049675101,0.0,0.501616898020418,0.0
Neck,RHip_Y,0.9413701596070757,0.0,0.9139457142714992,0.0,0.7769129093709647,0.0
Neck,LHip_X,0.3544736452458339,4.248737611671087e-97,0.4530172561795393,1.0886039011431157e-164,0.313547206510655,3.184151870196111e-151
Neck,LHip_Y,0.9462410348720552,0.0,0.9187154384038797,0.0,0.7852325787568699,0.0
Neck,RKnee_X,0.622934076620369,0.0,0.6752786478821211,0.0,0.4830663027778538,0.0
Neck,RKnee_Y,0.8195765314007137,0.0,0.7988786243151187,0.0,0.6298937980850667,0.0
Neck,LKnee_X,0.3577104260406751,5.717906512555985e-99,0.4320193435245883,2.5371882426256368e-148,0.30148156878006627,5.5702856575987605e-140
Neck,LKnee_Y,0.8144330211484945,0.0,0.8065573613389455,0.0,0.6374726361767832,0.0
Neck,RAnkle_X,0.6270422849707682,0.0,0.6939442479451579,0.0,0.5056570186815209,0.0
Neck,RAnkle_Y,0.7100882967447206,0.0,0.720059821038252,0.0,0.5531897417942211,0.0
Neck,LAnkle_X,0.35207414686640937,1.0028164556209997e-95,0.4520717775879654,6.293123032383706e-164,0.32055171450425957,8.54416692098075e-158
Neck,LAnkle_Y,0.6942067292254379,0.0,0.7056751361745554,0.0,0.5399846607248435,0.0
Neck,Chest,0.9800539866158071,0.0,0.9633932014405739,0.0,0.8692239233957703,0.0
RShoulder_X,RShoulder_Y,0.6565900252923135,0.0,0.6759173367703307,0.0,0.48604155932967114,0.0
RShoulder_X,LShoulder_X,0.0925591421214593,1.201134801834682e-07,-0.015679996952194082,0.3708695110146888,-0.17365431962314773,8.516312923182505e-48
RShoulder_X,LShoulder_Y,0.6648240050993379,0.0,0.6806858554178598,0.0,0.4883690343047955,0.0
RShoulder_X,RElbow_X,0.9396346780681075,0.0,0.9587988040058166,0.0,0.859178793369118,0.0
RShoulder_X,RElbow_Y,0.6236909236689785,0.0,0.6178151669122038,0.0,0.44417761376271436,2.838757360972628e-302
RShoulder_X,LElbow_X,0.30798122433337954,1.4901634254496032e-72,0.0521091055838763,0.0029235217666170555,-0.10162604545619967,1.571023764565821e-17
RShoulder_X,LElbow_Y,0.62234815392348,0.0,0.6109544520056561,0.0,0.4381471703668965,8.413958103545604e-294
RShoulder_X,RWrist_X,0.8547978698198535,0.0,0.9051689695981419,0.0,0.7587412223220018,0.0
RShoulder_X,RWrist_Y,0.5837396367573369,5.012625217798738e-297,0.565979131186509,1.938202797817336e-275,0.4050229593302043,1.9542510473062144e-251
RShoulder_X,LWrist_X,0.38396727206052333,5.670209767944082e-115,0.10039476769334564,9.267434976170069e-09,-0.03074541430930354,0.009778093035388988
RShoulder_X,LWrist_Y,0.585612945766087,2.2116052393129726e-299,0.5566870713823855,1.1676679016032022e-264,0.3921892136717466,7.1128389413879725e-236
RShoulder_X,RHip_X,0.8936002351835768,0.0,0.8982904256047746,0.0,0.7687113430932372,0.0
RShoulder_X,RHip_Y,0.613564935534586,0.0,0.6022619628313062,5.217e-321,0.4343881218794756,5.782755822269713e-290
RShoulder_X,LHip_X,0.2721382759309177,1.9489541861464896e-56,0.2923486791599491,3.095953071305208e-65,0.3135111229343189,1.4055183905352765e-151
RShoulder_X,LHip_Y,0.6235679677059287,0.0,0.6140682407042429,0.0,0.44243957471656015,1.4344079595396762e-300
RShoulder_X,RKnee_X,0.8922750283553755,0.0,0.8924411954891676,0.0,0.7652372464955929,0.0
RShoulder_X,RKnee_Y,0.5207900132563896,4.619744342098927e-226,0.4925309111920165,8.837354003073574e-199,0.35382859529764277,1.9238391540130175e-193
RShoulder_X,LKnee_X,0.2810641753815811,3.12039515870137e-60,0.3116785234173277,2.3749794230082798e-74,0.31708864892392424,4.9416476572382155e-155
RShoulder_X,LKnee_Y,0.5143854260885228,1.1882421484743681e-219,0.490328843401135,9.254616697350983e-197,0.3489083683845168,3.714367687975165e-188
RShoulder_X,RAnkle_X,0.8535682690618279,0.0,0.8584122323450348,0.0,0.7210553160076236,0.0
RShoulder_X,RAnkle_Y,0.4129044918477781,2.137560094004832e-134,0.3960621448989485,7.418072812726823e-123,0.2784512315623611,4.229503068890527e-120
RShoulder_X,LAnkle_X,0.319835484027887,2.0785298749288678e-78,0.34245524336300104,2.4329221981877207e-90,0.32257335144757554,3.539753898314466e-160
RShoulder_X,LAnkle_Y,0.40835508450555513,3.2592664762986697e-131,0.3908971907583007,1.8936601887275742e-119,0.2749561786346287,3.870129781564658e-117
RShoulder_X,Chest,0.6408804625928699,0.0,0.6424562628113958,0.0,0.462677067445362,0.0
RShoulder_Y,LShoulder_X,0.15844090964788152,9.110049590579627e-20,0.2583031704982713,7.863194006275585e-51,0.18189846426231668,5.041658105403041e-52
RShoulder_Y,LShoulder_Y,0.9939858979258498,0.0,0.9878384277960807,0.0,0.9407554245019123,0.0
RShoulder_Y,RElbow_X,0.5408836225453868,4.3302307238050273e-247,0.6404423647411563,0.0,0.45140238237170655,0.0
RShoulder_Y,RElbow_Y,0.9840237860696809,0.0,0.9623679891416975,0.0,0.8696325163816869,0.0
RShoulder_Y,LElbow_X,0.03405502455113368,0.051902758668573724,0.21572844920251666,1.2702942586457031e-35,0.15539346477259466,1.2431296043189867e-38
RShoulder_Y,LElbow_Y,0.9780689572113301,0.0,0.9486416319664405,0.0,0.8446041289760928,0.0
RShoulder_Y,RWrist_X,0.4505790439273651,9.931730427381505e-163,0.6016767768874306,3.16e-320,0.4240284484994795,4.017283239168289e-277
RShoulder_Y,RWrist_Y,0.9248789807440746,0.0,0.8448212420505279,0.0,0.6873886501135712,0.0
RShoulder_Y,LWrist_X,0.03657902699574772,0.03678805254801676,-0.16350197024299784,5.796124624256555e-21,-0.11816347200847133,3.946979299736153e-23
RShoulder_Y,LWrist_Y,0.9245092144510606,0.0,0.8223303001499499,0.0,0.6617253852614163,0.0
RShoulder_Y,RHip_X,0.6513508961423762,0.0,0.7164410884183932,0.0,0.5176487884073226,0.0
RShoulder_Y,RHip_Y,0.9558339713742726,0.0,0.9358930199999209,0.0,0.8080572088073458,0.0
RShoulder_Y,LHip_X,0.3607800910007749,9.17365686694822e-101,0.44277618323495527,1.4574757016016422e-156,0.30861142336094444,3.0837460436928497e-146
RShoulder_Y,LHip_Y,0.9585916232787769,0.0,0.9377740362350524,0.0,0.8123343632057775,0.0
RShoulder_Y,RKnee_X,0.6432269335629918,0.0,0.6959290594519261,0.0,0.5011665637017111,0.0
RShoulder_Y,RKnee_Y,0.8393815298690335,0.0,0.8270192223128757,0.0,0.6624434960127094,0.0
RShoulder_Y,LKnee_X,0.36528224818033134,1.9694155577068845e-103,0.42390071585590927,2.6868506016329593e-142,0.29801625580022545,1.5968420037019378e-136
RShoulder_Y,LKnee_Y,0.8322434886886264,0.0,0.8305245953820115,0.0,0.6664552611691594,0.0
RShoulder_Y,RAnkle_X,0.6463322265714808,0.0,0.7115079435808161,0.0,0.5222901056192087,0.0
RShoulder_Y,RAnkle_Y,0.7194146436499909,0.0,0.7355331594190223,0.0,0.5724355369658025,0.0
RShoulder_Y,LAnkle_X,0.358643910556612,1.6351805650753502e-99,0.4429906156633444,9.914729468251918e-157,0.3160680310850738,3.9796824087053863e-153
RShoulder_Y,LAnkle_Y,0.7020964995112718,0.0,0.719537757617867,0.0,0.5575380915502407,0.0
RShoulder_Y,Chest,0.9875516201373917,0.0,0.9765298653429034,0.0,0.8987621512747183,0.0
LShoulder_X,LShoulder_Y,0.15305838033679603,1.5469402659244645e-18,0.2600172028613911,1.656455189018818e-51,0.1822334402938851,3.1568698124090172e-52
LShoulder_X,RElbow_X,0.28123201815856413,2.639217317785315e-60,0.016399737182981818,0.3493111508035269,-0.13882173465899283,2.8483208992088427e-31
LShoulder_X,RElbow_Y,0.16275039595707042,8.77516292095396e-21,0.26342352405939096,7.241253681791355e-53,0.1851356846480485,8.605982748772884e-54
LShoulder_X,LElbow_X,0.9110121745478564,0.0,0.910869956320884,0.0,0.7845001442390999,0.0
LShoulder_X,LElbow_Y,0.17211769103233504,4.334248501636055e-23,0.27763710678758063,9.295993340624596e-59,0.19490306033510468,2.3985088189652367e-59
LShoulder_X,RWrist_X,0.403571033272346,6.419461895523205e-128,0.046755901232427954,0.007593698571547219,-0.08771036219790909,1.9387119895787655e-13
LShoulder_X,RWrist_Y,0.1772428344076493,2.080679052463821e-24,0.30613132154411876,1.1559603997554658e-71,0.21342328870443747,8.204090692121115e-71
LShoulder_X,LWrist_X,0.8359918712759279,0.0,0.8249928365296488,0.0,0.6718251823059354,0.0
LShoulder_X,LWrist_Y,0.17832640984452366,1.0819824549260189e-24,0.3118266824536719,2.0094962611683286e-74,0.21443796156366282,1.8217240782902285e-71
LShoulder_X,RHip_X,0.2685891211841271,5.7517213319649095e-55,0.31202983385887695,1.5977538504743537e-74,0.3149657570558693,4.7676843102508766e-152
LShoulder_X,RHip_Y,0.13080068984209645,6.556144025252978e-14,0.18272073088744226,7.31043279437167e-26,0.13179740551175523,3.514120622989108e-28
LShoulder_X,LHip_X,0.8703858277601899,0.0,0.8818280744961657,0.0,0.7420442028112255,0.0
LShoulder_X,LHip_Y,0.1309974456082589,6.011066902560473e-14,0.18773147758063322,3.111143906664672e-27,0.13502519873464688,1.7621615591508576e-29
LShoulder_X,RKnee_X,0.23879604569477042,1.7374894011165097e-43,0.28777666413411895,3.513955697308765e-63,0.2919535646877563,6.910644172580551e-131
LShoulder_X,RKnee_Y,0.04481638644213424,0.010504430086204124,0.05436833689691796,0.0019036492701885285,0.04425303078535377,0.00021622591568360125
LShoulder_X,LKnee_X,0.8329515381310201,0.0,0.8420524165605419,0.0,0.7047078911392458,0.0
LShoulder_X,LKnee_Y,0.06886165323179287,8.343511575973672e-05,0.07989206520974929,4.961689427362978e-06,0.05978558229087044,5.802565448825673e-07
LShoulder_X,RAnkle_X,0.3095212291275135,2.6770020589696394e-73,0.34767271878438016,3.0814391303417985e-93,0.319942500655429,9.349462427527446e-157
LShoulder_X,RAnkle_Y,0.012034087635538745,0.49223453171882026,0.018843794649726107,0.28218190257161613,0.017173730804370527,0.15192978972403387
LShoulder_X,LAnkle_X,0.7975266077165648,0.0,0.8077760460544515,0.0,0.6627967675221481,0.0
LShoulder_X,LAnkle_Y,0.0038561648426750153,0.8258277253698811,0.010692990675489115,0.5417154225222532,0.012311055003008275,0.30441774700701185
LShoulder_X,Chest,0.1470447399085865,3.2525808862023516e-17,0.2290042149186065,4.843219141734847e-40,0.16182611899260446,1.782741791191824e-41
LShoulder_Y,RElbow_X,0.549801131495897,6.89401517733396e-257,0.6448457798224622,0.0,0.45229711684311213,0.0
LShoulder_Y,RElbow_Y,0.9803981861875773,0.0,0.9544205390986364,0.0,0.8543119751349637,0.0
LShoulder_Y,LElbow_X,0.023036217133761583,0.18859275745129853,0.206221009775888,1.2379447048676996e-32,0.14914920979781687,9.758349795025888e-36
LShoulder_Y,LElbow_Y,0.9818825929427317,0.0,0.9548545273025829,0.0,0.8572934487640006,0.0
LShoulder_Y,RWrist_X,0.45973473827180034,3.574229788882715e-170,0.6058907842402237,0.0,0.4268369454608231,7.067720196759067e-281
LShoulder_Y,RWrist_Y,0.922578937577142,0.0,0.8385409026304318,0.0,0.6801742507181786,0.0
LShoulder_Y,LWrist_X,0.046624987727095314,0.0077646098989556595,-0.15164633798426577,3.1983621451729795e-18,-0.1107216416987691,1.6452080749768756e-20
LShoulder_Y,LWrist_Y,0.9290634155953452,0.0,0.8285355939675011,0.0,0.669705319139733,0.0
LShoulder_Y,RHip_X,0.6502563575158924,0.0,0.7118908376143311,0.0,0.512896853593078,0.0
LShoulder_Y,RHip_Y,0.953377179411008,0.0,0.9323613520909387,0.0,0.8025505833072585,0.0
LShoulder_Y,LHip_X,0.35368002245004565,1.2125015872691363e-96,0.4384088531602559,3.510303315728861e-153,0.3024082290871985,1.5094466713854127e-140
LShoulder_Y,LHip_Y,0.9577394251395521,0.0,0.9370921140897994,0.0,0.8121114404329787,0.0
LShoulder_Y,RKnee_X,0.6405159032958693,0.0,0.6895860603006752,0.0,0.4948333724962146,0.0
LShoulder_Y,RKnee_Y,0.8303699404054468,0.0,0.8168397055945107,0.0,0.6539139050869806,0.0
LShoulder_Y,LKnee_X,0.3631900951316784,3.464171866713129e-102,0.426203426766773,5.459308655831541e-144,0.2974445192723453,4.684860277253532e-136
LShoulder_Y,LKnee_Y,0.8252388180406458,0.0,0.821318230370188,0.0,0.6592529677235143,0.0
LShoulder_Y,RAnkle_X,0.6447998318441348,0.0,0.7072864762920946,0.0,0.5178135423043785,0.0
LShoulder_Y,RAnkle_Y,0.7119845125167821,0.0,0.7250989166888001,0.0,0.5637974443888779,0.0
LShoulder_Y,LAnkle_X,0.3524230970739536,6.343050257083352e-96,0.439887761465446,2.5452585778241508e-154,0.3108048196480102,3.4489022974902926e-148
LShoulder_Y,LAnkle_Y,0.693401103799266,0.0,0.7068669858076142,0.0,0.5461290471909195,0.0
LShoulder_Y,Chest,0.9869987092116171,0.0,0.9756476937353827,0.0,0.8964114171282566,0.0
RElbow_X,RElbow_Y,0.5154675723047912,1.0032351481915872e-220,0.5887530698961845,2.3007117287087455e-303,0.41522868207559765,2.289577745327872e-265
RElbow_X,LElbow_X,0.5149649816753048,3.165637536652085e-220,0.13060072384173188,7.159823358678495e-14,-0.025294661998539185,0.033598589406861404
RElbow_X,LElbow_Y,0.512669383529875,5.879075841248819e-218,0.5804988964642532,5.478354395426272e-293,0.408260957381835,2.8146459837661756e-256
RElbow_X,RWrist_X,0.9364510744203889,0.0,0.9433809075965842,0.0,0.8394673229093815,0.0
RElbow_X,RWrist_Y,0.4807000225501912,4.241638841185689e-188,0.5435948360907192,4.8840719030833565e-250,0.38712448521757803,1.057787719128654e-230
RElbow_X,LWrist_X,0.5785453873040054,1.4165651576754773e-290,0.18546837181877499,1.3091335039610882e-26,0.04363519637087215,0.00023946351454650388
RElbow_X,LWrist_Y,0.4764537257528994,2.2901874445630837e-184,0.5274648009973933,6.8566747589177085e-233,0.36831177947639077,5.162581992560809e-209
RElbow_X,RHip_X,0.7885566004005727,0.0,0.8680541274113851,0.0,0.7292308827086824,0.0
RElbow_X,RHip_Y,0.5099312171780291,2.837511048887112e-215,0.5651487209391657,1.8398308300608916e-274,0.39859347818975843,2.3702324675608543e-245
RElbow_X,LHip_X,0.07440603025367878,2.1193545900031876e-05,0.25302870942366024,8.817448237627289e-49,0.2847437927715176,7.880522105479665e-126
RElbow_X,LHip_Y,0.5199840177234775,3.012305134738605e-225,0.5767079914338205,2.5443049632356954e-288,0.40606058330052486,2.0593288075987314e-254
RElbow_X,RKnee_X,0.7853405930860433,0.0,0.855332479855851,0.0,0.7135951792371966,0.0
RElbow_X,RKnee_Y,0.45900200347453235,1.4365691897492918e-169,0.4674229262050826,1.3318833792324397e-176,0.3319120497296393,4.528967535632032e-171
RElbow_X,LKnee_X,0.08508420622796618,1.1491108303361044e-06,0.2674903206460148,1.6233488885175406e-54,0.28802918514740294,1.0105140025895088e-128
RElbow_X,LKnee_Y,0.45081472304892767,6.430604103046763e-163,0.4668408737367124,4.139510300290363e-176,0.3284442891318658,1.4786080364331976e-167
RElbow_X,RAnkle_X,0.7349437710345796,0.0,0.8209308704528668,0.0,0.676269485908979,0.0
RElbow_X,RAnkle_Y,0.3831799756425375,1.800257176818861e-114,0.3819649613113087,1.0640047731600198e-113,0.2670203272567555,5.470207991243141e-111
RElbow_X,LAnkle_X,0.1392105023559911,1.4275999032139418e-15,0.3058410488019747,1.5920808773831533e-71,0.29685750619926293,1.913165991832526e-136
RElbow_X,LAnkle_Y,0.3820638446926774,9.21020113157022e-114,0.3765677096927761,2.600583135466674e-110,0.26408169898247225,1.3747175861683618e-108
RElbow_X,Chest,0.5298759864761327,2.145855887725105e-235,0.6066267503619861,0.0,0.4272155995477005,1.7082041850460161e-280
RElbow_Y,LElbow_X,0.03808089688421916,0.029712383819176826,0.21377707818306513,5.360706049903193e-35,0.1544389566073029,3.72996945379986e-38
RElbow_Y,LElbow_Y,0.9823689578945163,0.0,0.9690233152141422,0.0,0.8850071420829985,0.0
RElbow_Y,RWrist_X,0.4292216980280268,3.1563043317973505e-146,0.5600474191071719,1.6156490892518133e-268,0.39166795662608717,1.3669485138354873e-236
RElbow_Y,RWrist_Y,0.950481210291246,0.0,0.9131158940175139,0.0,0.7772247717343592,0.0
RElbow_Y,LWrist_X,0.030037465223947846,0.0864374186639642,-0.15922819472239874,5.969796626612226e-20,-0.11572583729443543,3.0858023542103454e-22
RElbow_Y,LWrist_Y,0.9448772862471344,0.0,0.8855775358651934,0.0,0.7359495098118215,0.0
RElbow_Y,RHip_X,0.6242481260294561,0.0,0.6701102860594267,0.0,0.4885466188454055,0.0
RElbow_Y,RHip_Y,0.9543106352082688,0.0,0.9400235279766399,0.0,0.8111374306507616,0.0
RElbow_Y,LHip_X,0.35384336806272143,9.77356384572828e-97,0.432752321459373,7.116042573134631e-149,0.3006210720141161,9.019639193646306e-139
RElbow_Y,LHip_Y,0.9559401610320462,0.0,0.939891948938043,0.0,0.8129781188736602,0.0
RElbow_Y,RKnee_X,0.6148626742325656,0.0,0.6487561831292449,0.0,0.4706160281683729,0.0
RElbow_Y,RKnee_Y,0.8477426646964464,0.0,0.8437690093110378,0.0,0.6773463257166309,0.0
RElbow_Y,LKnee_X,0.3635199744519335,2.2073492549455785e-102,0.4178694188632011,6.297739005895554e-138,0.2927344011858698,1.0448200603598764e-131
RElbow_Y,LKnee_Y,0.8404052832435018,0.0,0.8449089209403436,0.0,0.6784334341824866,0.0
RElbow_Y,RAnkle_X,0.6213789966619292,0.0,0.6705348966117528,0.0,0.49251750420953044,0.0
RElbow_Y,RAnkle_Y,0.7384123376591754,0.0,0.7619494211813732,0.0,0.5938509831084894,0.0
RElbow_Y,LAnkle_X,0.35415442737995295,6.480390660881517e-97,0.4311165196792462,1.2092926340091579e-147,0.3072763867009764,9.719600091190083e-145
